创建时间,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,进口0出口1,数据类型,整体处理效率,企业名称,设备名称,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,风量,处理效率,风速段,浓度时间段,时间段序号,拼接时间段,穿透率
2025-07-24 14:00:07,0.0,0.1850924496224647,71.77436545074889,75.4500119292889,0,进口浓度,0.0,连微,抽气式东星行测试,,33.142307510792634,60.498873457251285,11.982400390508449,100.2,100.6,-0.4,0.0,0.0,12122.637421903972,100.0,1,1,1,1_2,0.0
2025-07-24 14:06:29,0.0,0.4350229806972031,88.59045714114065,66.69998535852586,0,进口浓度,0.0,连微,抽气式东星行测试,,32.80392148471074,55.83326123223019,12.580746121615498,100.2,100.6,-0.4,0.0,0.0,12026.284026808264,100.0,1,1,3,3_4,0.0
2025-07-24 14:13:26,0.0,0.5027826193212005,88.53338190148438,73.17800631148828,0,进口浓度,0.0,连微,抽气式东星行测试,,35.293357598033566,55.44250427746744,12.944759463027532,100.2,100.6,-0.4,0.0,0.0,12642.33858938638,100.0,1,1,5,5_6,0.0
2025-07-24 14:14:59,0.0,1.1204359625983238,75.67494383884946,68.93150861476829,0,进口浓度,0.0,连微,抽气式东星行测试,,35.511840606601645,59.68157757302985,12.279587858733326,100.2,100.6,-0.4,0.0,0.0,12181.963136552138,100.0,1,1,5,5_6,0.0
2025-07-24 14:21:32,0.0,-0.3887015755644957,69.61284038680881,70.8211411054251,0,进口浓度,0.0,连微,抽气式东星行测试,,34.01029257896505,56.01181541048624,12.883213975737192,100.2,100.6,-0.4,0.0,0.0,12154.194266879564,100.0,1,1,7,7_8,0.0
2025-07-24 16:27:27,0.0,4.0384009806571015,75.76724591344843,76.11523576311555,0,进口浓度,1.7,连微,抽气式东星行测试,,35.21875261686293,59.10994504717406,11.594867742859485,100.2,100.6,-0.4,0.0,0.0,12072.973025505346,100.0,1,1,7,7_8,0.0
2025-07-24 16:30:36,0.0,0.5990469110817678,77.6691917899068,74.18790763106038,0,进口浓度,1.7,连微,抽气式东星行测试,,33.536599334006425,58.69226466498381,11.496540560762371,100.2,100.6,-0.4,0.0,0.0,12865.307501720716,100.0,1,1,9,9_10,0.0
2025-07-24 16:34:43,0.0,0.3045054937048861,77.81759656880604,80.73811562205373,0,进口浓度,1.7,连微,抽气式东星行测试,,34.021777852095084,60.800119783314855,11.430288845052482,100.2,100.6,-0.4,0.0,0.0,12352.895088856356,100.0,1,1,11,11_12,0.0
2025-07-24 16:36:04,0.0,2.191377114940188,74.56373651970006,80.10918234504337,0,进口浓度,1.7,连微,抽气式东星行测试,,34.61704014755847,57.82352112020917,12.073381498577854,100.2,100.6,-0.4,0.0,0.0,12847.172365393468,100.0,1,1,11,11_12,0.0
2025-07-24 16:40:17,0.0,1.7874151517539103,101.10826801206191,79.23475986517082,0,进口浓度,1.7,连微,抽气式东星行测试,,33.35634119981026,60.63369140173225,12.509930344585587,100.2,100.6,-0.4,0.0,0.0,12199.05788155245,100.0,1,1,13,13_14,0.0
