创建时间,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,进口0出口1,数据类型,整体处理效率,企业名称,设备名称,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,风量,处理效率,风速段,穿透率,浓度时间段,时间段序号,拼接时间段
2025-07-24 14:00:07,21.863916769930043,0.1850924496224647,71.77436545074889,75.4500119292889,2,进口浓度,0.0,连微,抽气式东星行测试,,33.142307510792634,60.498873457251285,1.1228918288786311,100.2,100.6,-0.4,0.0,0.0,12122.637421903972,69.5379866716719,1,0.30462013328328097,,,
2025-07-24 14:02:05,5.95263784623929,0.1622561114723842,57.11132141811131,69.03340743279416,2,出口浓度,0.0,连微,抽气式东星行测试,,33.78044477096982,55.52674444662839,1.0487057067715555,100.2,100.6,-0.4,0.0,0.0,12845.5212189747,89.57713164670083,1,0.10422868353299163,,,
2025-07-24 14:05:35,0.1026326607584482,-2.160365530103573,83.55901278148468,63.32928471982348,2,出口浓度,0.0,连微,抽气式东星行测试,,35.56532672941555,60.10817230451875,1.4981159964366353,100.2,100.6,-0.4,0.0,0.0,12927.324456723178,99.87717344025253,1,0.0012282655974747217,,,
2025-07-24 14:06:29,2.952380057933658,0.4350229806972031,88.59045714114065,66.69998535852586,2,进口浓度,0.0,连微,抽气式东星行测试,,32.80392148471074,55.83326123223019,1.3607717730241635,100.2,100.6,-0.4,0.0,0.0,12026.284026808264,96.66738365145811,1,0.033326163485418996,,,
2025-07-24 14:08:27,1.473237304122753,-0.3365330069926757,76.46547560662215,67.51313056083187,2,出口浓度,0.0,连微,抽气式东星行测试,,34.20658773570571,58.67169017572313,1.277491750423672,100.2,100.6,-0.4,0.0,0.0,12309.290717528462,98.07333009775307,1,0.019266699022469247,,,
2025-07-24 14:13:26,0.5440472450555779,0.5027826193212005,88.53338190148438,73.17800631148828,2,进口浓度,0.0,连微,抽气式东星行测试,,35.293357598033566,55.44250427746744,1.4408958572755537,100.2,100.6,-0.4,0.0,0.0,12642.33858938638,99.38548914164268,1,0.006145108583573223,,,
2025-07-24 14:14:59,6.659834707036824,1.1204359625983238,75.67494383884946,68.93150861476829,2,进口浓度,0.0,连微,抽气式东星行测试,,35.511840606601645,59.68157757302985,1.009379781161546,100.2,100.6,-0.4,0.0,0.0,12181.963136552138,91.19941902934345,1,0.08800580970656559,,,
2025-07-24 14:17:02,7.293484343466058,0.0457097188918494,69.11534722430919,69.22593927536468,2,出口浓度,0.0,连微,抽气式东星行测试,,32.22165140007111,55.74496672383408,1.271619604897555,100.2,100.6,-0.4,0.0,0.0,12164.657079890125,89.44737364945075,1,0.10552626350549245,,,
2025-07-24 14:20:14,4.066644233651332,-0.4738615059487616,63.93759267177798,69.70900781911904,2,出口浓度,0.0,连微,抽气式东星行测试,,35.5797036672845,60.0756022369352,0.854723640881229,100.2,100.6,-0.4,0.0,0.0,12635.057091387744,93.63966633131255,1,0.06360333668687447,,,
2025-07-24 14:21:32,27.972423581260884,-0.3887015755644957,69.61284038680881,70.8211411054251,2,进口浓度,0.0,连微,抽气式东星行测试,,34.01029257896505,56.01181541048624,0.9723989376833068,100.2,100.6,-0.4,0.0,0.0,12154.194266879564,59.81714950025013,1,0.40182850499749867,,,
