时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-08 00:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 00:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 00:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 00:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 01:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 01:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 02:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 02:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 02:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 02:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 03:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 03:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 03:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 04:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 05:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 05:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 05:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 07:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 07:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 07:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 07:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 08:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 08:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 08:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 09:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 09:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 10:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 11:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 12:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 12:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 12:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 13:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 13:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 13:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 14:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 14:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 14:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 15:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 15:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 16:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 17:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 18:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 18:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 19:05:00,1,预警,瞬时低炉温焚烧,预警
2024-12-08 19:05:00,1,报警,低炉温焚烧,报警
2024-12-08 19:08:00,1,预警,布袋除尘器压力损失偏低,预警
2024-12-08 19:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 20:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 21:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 21:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 21:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 23:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-08 23:46:00,1,预警,焚烧炉出口氧含量偏高,预警
