时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-11-12 16:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 17:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 17:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 17:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 17:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 18:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 18:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 19:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 19:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 19:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 20:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 20:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 21:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 22:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 22:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 23:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 23:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-12 23:38:00,1,预警,焚烧炉出口氧含量偏高,预警
