时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-15 00:20:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 00:20:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-15 00:20:00,1,报警,低炉温焚烧,报警
2025-06-15 01:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 01:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 03:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 04:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 05:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 05:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 05:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 05:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 05:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 05:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 06:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 06:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 06:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 06:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 07:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 07:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 07:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 07:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-15 09:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-15 09:15:00,1,报警,低炉温焚烧,报警
2025-06-15 09:15:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:20:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:20:00,1,报警,低炉温焚烧,报警
2025-06-15 09:35:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:35:00,1,报警,低炉温焚烧,报警
2025-06-15 09:40:00,1,报警,低炉温焚烧,报警
2025-06-15 09:40:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:45:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:45:00,1,报警,低炉温焚烧,报警
2025-06-15 09:50:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:50:00,1,报警,低炉温焚烧,报警
2025-06-15 09:55:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 09:55:00,1,报警,低炉温焚烧,报警
2025-06-15 10:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-15 10:00:00,1,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-15 10:00:00,1,预警,烟气中二氧化硫（SO₂）浓度较高,预警
2025-06-15 10:30:00,1,报警,低炉温焚烧,报警
2025-06-15 10:30:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 10:32:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-15 11:00:00,1,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-15 11:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-15 11:00:00,1,预警,烟气中二氧化硫（SO₂）浓度较高,预警
2025-06-15 12:00:00,1,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-15 12:00:00,1,预警,烟气中二氧化硫（SO₂）浓度较高,预警
2025-06-15 12:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-15 12:25:00,1,报警,低炉温焚烧,报警
2025-06-15 12:25:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 12:30:00,1,报警,低炉温焚烧,报警
2025-06-15 12:30:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 12:40:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 12:40:00,1,报警,低炉温焚烧,报警
2025-06-15 12:45:00,1,报警,低炉温焚烧,报警
2025-06-15 12:45:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 12:50:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 12:50:00,1,报警,低炉温焚烧,报警
2025-06-15 12:55:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 12:55:00,1,报警,低炉温焚烧,报警
2025-06-15 13:00:00,1,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-15 13:00:00,1,报警,低炉温焚烧,报警
2025-06-15 13:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-15 13:00:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:05:00,1,报警,低炉温焚烧,报警
2025-06-15 13:05:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:10:00,1,报警,低炉温焚烧,报警
2025-06-15 13:10:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:25:00,1,报警,低炉温焚烧,报警
2025-06-15 13:25:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:35:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:35:00,1,报警,低炉温焚烧,报警
2025-06-15 13:40:00,1,报警,低炉温焚烧,报警
2025-06-15 13:40:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:45:00,1,报警,低炉温焚烧,报警
2025-06-15 13:45:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:50:00,1,报警,低炉温焚烧,报警
2025-06-15 13:50:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:55:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 13:55:00,1,报警,低炉温焚烧,报警
2025-06-15 14:00:00,1,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-06-15 14:00:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 14:00:00,1,报警,低炉温焚烧,报警
2025-06-15 14:05:00,1,报警,低炉温焚烧,报警
2025-06-15 14:05:00,1,预警,瞬时低炉温焚烧,预警
2025-06-15 14:10:00,1,报警,低炉温焚烧,报警
2025-06-15 14:10:00,1,预警,瞬时低炉温焚烧,预警
