时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-06 00:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 10:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 12:00:00,1,预警,烟气中二氧化硫（SO₂）浓度较高,预警
2024-12-06 12:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 15:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 15:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 15:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 16:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 17:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 18:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 19:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 20:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 21:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-06 22:38:00,1,预警,焚烧炉出口氧含量偏高,预警
