时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-01 00:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 00:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 00:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 02:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 02:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 02:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 03:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 04:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 05:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 05:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 05:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 06:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 07:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 07:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 08:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 08:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 09:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 10:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 10:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 10:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 11:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 11:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 11:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 13:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 13:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 13:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 14:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 14:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 14:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 14:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 14:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 15:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 16:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 16:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 16:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 17:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 17:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 17:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 17:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 18:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 18:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 18:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 18:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 19:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 19:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 20:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 20:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 21:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 21:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 21:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 22:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 22:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 22:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 23:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 23:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-01 23:52:00,1,预警,焚烧炉出口氧含量偏高,预警
