时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-04-26 00:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 01:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 02:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 02:35:00,1,预警,瞬时低炉温焚烧,预警
2025-04-26 02:35:00,1,报警,低炉温焚烧,报警
2025-04-26 02:36:00,1,预警,布袋除尘器压力损失偏低,预警
2025-04-26 04:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 05:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 05:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 06:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 07:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 08:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 09:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 11:45:00,1,预警,瞬时低炉温焚烧,预警
2025-04-26 11:45:00,1,报警,低炉温焚烧,报警
2025-04-26 11:48:00,1,预警,布袋除尘器压力损失偏低,预警
2025-04-26 12:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 13:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 14:25:00,1,报警,低炉温焚烧,报警
2025-04-26 14:25:00,1,预警,瞬时低炉温焚烧,预警
2025-04-26 14:28:00,1,预警,布袋除尘器压力损失偏低,预警
2025-04-26 15:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 16:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 16:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 16:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 17:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 17:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 19:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 19:40:00,1,报警,低炉温焚烧,报警
2025-04-26 19:40:00,1,预警,瞬时低炉温焚烧,预警
2025-04-26 19:42:00,1,预警,布袋除尘器压力损失偏低,预警
2025-04-26 19:45:00,1,预警,瞬时低炉温焚烧,预警
2025-04-26 19:45:00,1,报警,低炉温焚烧,报警
2025-04-26 19:48:00,1,预警,布袋除尘器压力损失偏低,预警
2025-04-26 23:24:00,1,预警,焚烧炉出口氧含量偏高,预警
