时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-07-29 05:19:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 06:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 09:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 12:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 12:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 14:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 14:45:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 15:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2024-07-29 15:21:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 16:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 17:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 17:31:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 18:21:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 20:59:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 22:31:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-07-29 22:40:00,1,预警,焚烧炉出口氧含量偏高,预警
