时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-11-18 00:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 01:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 01:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 02:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 02:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 02:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 02:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 03:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 04:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 05:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 05:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 05:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 06:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 08:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 08:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 09:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 10:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 10:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 10:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 11:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 11:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 12:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 12:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 12:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 12:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 12:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 13:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 13:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 14:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 14:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 15:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 15:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 15:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 15:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 16:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 16:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 16:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 17:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 17:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 17:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 18:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 18:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 19:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 20:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 21:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 22:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-11-18 23:40:00,1,预警,焚烧炉出口氧含量偏高,预警
