时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-05 05:55:00,1,预警,瞬时低炉温焚烧,预警
2025-06-05 05:55:00,1,报警,低炉温焚烧,报警
2025-06-05 05:58:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-05 09:55:00,1,预警,瞬时低炉温焚烧,预警
2025-06-05 09:55:00,1,报警,低炉温焚烧,报警
2025-06-05 09:58:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-05 10:00:00,1,预警,瞬时低炉温焚烧,预警
2025-06-05 10:00:00,1,报警,低炉温焚烧,报警
2025-06-05 11:34:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-05 12:50:00,1,预警,瞬时低炉温焚烧,预警
2025-06-05 12:50:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-05 12:50:00,1,报警,低炉温焚烧,报警
2025-06-05 14:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-05 15:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-05 18:10:00,1,预警,瞬时低炉温焚烧,预警
2025-06-05 18:10:00,1,报警,低炉温焚烧,报警
2025-06-05 18:12:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-05 20:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-05 20:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-05 22:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-05 23:02:00,1,预警,焚烧炉出口氧含量偏高,预警
