时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-31 00:00:00,1,报警,烟气中一氧化碳（CO）排放超标,报警
2024-12-31 00:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-31 00:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-31 02:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2024-12-31 02:05:00,1,报警,低炉温焚烧,报警
2024-12-31 02:05:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:15:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:15:00,1,报警,低炉温焚烧,报警
2024-12-31 02:20:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:20:00,1,报警,低炉温焚烧,报警
2024-12-31 02:22:00,1,预警,布袋除尘器压力损失偏低,预警
2024-12-31 02:25:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:25:00,1,报警,低炉温焚烧,报警
2024-12-31 02:30:00,1,报警,低炉温焚烧,报警
2024-12-31 02:30:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:35:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:35:00,1,报警,低炉温焚烧,报警
2024-12-31 02:45:00,1,报警,低炉温焚烧,报警
2024-12-31 02:45:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 02:50:00,1,报警,低炉温焚烧,报警
2024-12-31 02:50:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:00:00,1,预警,烟气中二氧化硫（SO₂）浓度较高,预警
2024-12-31 03:00:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2024-12-31 03:00:00,1,报警,低炉温焚烧,报警
2024-12-31 03:05:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:05:00,1,报警,低炉温焚烧,报警
2024-12-31 03:10:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:10:00,1,报警,低炉温焚烧,报警
2024-12-31 03:15:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:15:00,1,报警,低炉温焚烧,报警
2024-12-31 03:20:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:20:00,1,报警,低炉温焚烧,报警
2024-12-31 03:25:00,1,报警,低炉温焚烧,报警
2024-12-31 03:25:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:30:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:30:00,1,报警,低炉温焚烧,报警
2024-12-31 03:35:00,1,报警,低炉温焚烧,报警
2024-12-31 03:35:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:40:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:40:00,1,报警,低炉温焚烧,报警
2024-12-31 03:45:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:45:00,1,报警,低炉温焚烧,报警
2024-12-31 03:50:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 03:50:00,1,报警,低炉温焚烧,报警
2024-12-31 03:55:00,1,报警,低炉温焚烧,报警
2024-12-31 03:55:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:00:00,1,报警,低炉温焚烧,报警
2024-12-31 04:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2024-12-31 04:00:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:00:00,1,预警,烟气中二氧化硫（SO₂）浓度较高,预警
2024-12-31 04:05:00,1,报警,低炉温焚烧,报警
2024-12-31 04:05:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:10:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:10:00,1,报警,低炉温焚烧,报警
2024-12-31 04:15:00,1,报警,低炉温焚烧,报警
2024-12-31 04:15:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:20:00,1,报警,低炉温焚烧,报警
2024-12-31 04:20:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:25:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:25:00,1,报警,低炉温焚烧,报警
2024-12-31 04:30:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:30:00,1,报警,低炉温焚烧,报警
2024-12-31 04:35:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:35:00,1,报警,低炉温焚烧,报警
2024-12-31 04:40:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:40:00,1,报警,低炉温焚烧,报警
2024-12-31 04:45:00,1,预警,瞬时低炉温焚烧,预警
2024-12-31 04:45:00,1,报警,低炉温焚烧,报警
2024-12-31 04:50:00,1,报警,低炉温焚烧,报警
2024-12-31 04:50:00,1,预警,瞬时低炉温焚烧,预警
