时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-28 00:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 00:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 00:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 00:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 01:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 01:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 03:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 04:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 05:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 05:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 06:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 06:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 06:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 07:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 07:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 08:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 09:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 09:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 09:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 10:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 11:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 12:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 12:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 12:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 12:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 13:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 13:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 13:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 13:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 14:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 15:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 16:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 16:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 17:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 18:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 19:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 19:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 20:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 21:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 21:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-28 23:08:00,1,预警,焚烧炉出口氧含量偏高,预警
