时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-07 00:00:00,1,预警,瞬时低炉温焚烧,预警
2025-06-07 00:00:00,1,报警,低炉温焚烧,报警
2025-06-07 00:02:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-07 01:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-07 06:10:00,1,预警,瞬时低炉温焚烧,预警
2025-06-07 06:10:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-07 06:10:00,1,报警,低炉温焚烧,报警
2025-06-07 13:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-06-07 17:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-07 19:45:00,1,预警,瞬时低炉温焚烧,预警
2025-06-07 19:45:00,1,报警,低炉温焚烧,报警
2025-06-07 19:48:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-07 21:35:00,1,预警,瞬时低炉温焚烧,预警
2025-06-07 21:35:00,1,报警,低炉温焚烧,报警
2025-06-07 21:36:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-07 21:40:00,1,报警,低炉温焚烧,报警
2025-06-07 21:40:00,1,预警,瞬时低炉温焚烧,预警
2025-06-07 21:42:00,1,预警,布袋除尘器压力损失偏低,预警
2025-06-07 21:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-06-07 22:44:00,1,预警,布袋除尘器压力损失偏低,预警
