时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-20 00:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 00:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 01:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 02:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 02:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 02:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 03:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 04:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 04:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 05:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 05:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 08:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 08:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 09:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 09:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 10:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 10:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 11:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 11:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 11:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 12:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 12:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 13:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 13:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 13:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 14:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 14:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 15:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 15:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 16:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 16:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 18:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 18:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 18:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 19:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 19:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 19:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 19:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 19:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 20:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 21:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 22:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-20 22:58:00,1,预警,焚烧炉出口氧含量偏高,预警
