时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-02-11 00:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 05:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 06:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 08:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 09:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 11:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 11:32:00,1,预警,布袋除尘器压力损失偏高,预警
2025-02-11 11:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 11:54:00,1,预警,布袋除尘器压力损失偏高,预警
2025-02-11 12:02:00,1,预警,布袋除尘器压力损失偏高,预警
2025-02-11 13:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 14:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 15:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 16:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 16:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 19:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 19:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 20:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 20:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 20:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 21:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-02-11 22:58:00,1,预警,焚烧炉出口氧含量偏高,预警
