时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-12 00:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 00:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 01:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 01:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 02:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 02:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 03:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 04:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 04:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 04:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 05:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 05:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 05:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 06:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 06:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 08:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 08:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 08:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 09:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 10:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 11:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 11:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 11:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 12:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 12:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 12:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 14:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 15:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 15:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 16:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 17:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 17:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 17:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 17:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 18:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 19:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 20:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 22:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-12 23:56:00,1,预警,焚烧炉出口氧含量偏高,预警
