时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-02 00:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 00:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 01:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 01:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 02:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 03:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 04:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 04:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 04:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 05:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 05:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 05:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 06:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 06:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 06:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 07:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 07:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 07:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 07:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 09:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 09:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 09:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 10:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 11:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 12:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 12:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 13:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 13:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 14:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 15:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 15:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 15:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 16:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 16:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 17:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 17:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 17:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 18:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 21:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 21:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 22:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 22:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-02 23:24:00,1,预警,焚烧炉出口氧含量偏高,预警
