时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-04-17 00:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 01:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 02:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 02:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 03:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 04:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 04:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 05:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 05:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 06:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 06:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 06:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 07:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 07:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 07:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 07:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 08:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 08:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 08:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 09:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 11:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 11:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 11:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 12:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 13:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 14:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 15:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 16:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 16:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 17:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 17:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 18:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 19:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 19:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 20:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 21:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 23:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-04-17 23:24:00,1,预警,焚烧炉出口氧含量偏高,预警
