时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-29 00:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 00:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 01:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 02:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 02:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 03:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 03:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 03:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 03:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 05:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 05:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 05:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 06:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 06:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 07:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 07:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 08:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 08:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 08:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 09:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 09:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 09:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 09:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 09:50:00,1,预警,焚烧炉出口氧含量偏低,预警
2025-01-29 09:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 10:00:00,1,预警,焚烧炉出口氧含量偏低,预警
2025-01-29 10:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 10:10:00,1,预警,焚烧炉出口氧含量偏低,预警
2025-01-29 10:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 11:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 11:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 11:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 11:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 13:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 14:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 14:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 15:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 15:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 16:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 16:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 16:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 17:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 18:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 19:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 19:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 20:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 20:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 21:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 21:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 21:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 22:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 23:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 23:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-01-29 23:58:00,1,预警,焚烧炉出口氧含量偏高,预警
