时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-10 00:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 00:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 00:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 02:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 02:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 02:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 03:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 04:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 05:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 05:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 06:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 06:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 07:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 07:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 08:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 09:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 09:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 10:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 11:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 12:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 12:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 14:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 14:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 14:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 15:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 17:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 19:14:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 19:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 20:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 20:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 21:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-10 23:14:00,1,预警,焚烧炉出口氧含量偏高,预警
