创建时间,企业名称,设备名称,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,处理效率,风量,进口0出口1
2025/7/10 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.41,0.00,100.40,100.48,-0.08,0.00,0.00,100.00,0.00,0
2025/7/10 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.43,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.43,0.00,100.40,100.48,-0.08,0.00,0.00,100.00,0.00,0
2025/7/10 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.42,62.44,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.41,62.37,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.47,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.43,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.41,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.43,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.41,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.42,0.00,100.40,100.48,-0.08,0.00,0.00,100.00,0.00,0
2025/7/10 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.47,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.40,62.32,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.02,,32.41,62.30,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.03,,32.41,62.30,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.03,,32.41,62.27,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.03,,32.43,62.33,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:56,连微,抽气式东星行测试,0.00,0.00,1.20,0.05,,32.43,62.45,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
2025/7/10 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.05,,32.42,62.48,0.00,100.30,100.48,-0.18,0.00,0.00,100.00,0.00,0
