数据时间,入炉垃圾量,系统时间年,系统时间月,系统时间日,系统时间小时,系统时间分钟,系统时间秒,推料器A位置,推料器B位置,一次风机频率反馈,一次风机电流反馈,A辅助燃烧器运行信号,B辅助燃烧器运行信号,上部烟气温度左,上部烟气温度中,上部烟气温度右,中部烟气温度左,中部烟气温度中,中部烟气温度右,下部烟气温度左,下部烟气温度中,下部烟气温度右,引风机变频器频率反馈,引风机入口调节风门位置反馈,消石灰累计,1#消石灰输送风机运行信号,备用消石灰输送风机运行信号,雾化器浆液流量,省煤器出口温度,反应塔温度,雾化器电流,减湿液PH值,湿法烧碱供应流量,湿法洗涤塔温度,SNCR分配柜氨水流量,SNCR-A氨水供应泵运行信号,SNCR-B氨水供应泵运行信号,NH3浓度,1#SCR氨水流量,SCR系统温度,SCR-A氨水供应泵运行信号,SCR-B氨水供应泵运行信号,活性炭称重累计,1#活性炭输送风机运行信号,备用活性炭输送风机运行信号,除尘器差压,除尘器灰斗温度,烟气温度,烟气压力,烟气含水量,烟气氧量,烟气烟尘,SO2浓度,NOX浓度,CO浓度,HCL浓度,烟气流速
2025-06-01 00:00:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1077.50,936.17,1153.15,1073.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.94,15.31,--,--,--,--,--,--,--,--,150.94,-0.34,20.18,9.02,0.75,8.46,59.71,0.84,0.55,13.23
2025-06-01 00:00:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1090.66,1160.23,1087.23,1111.42,1153.62,38.81,99.57,294.12,--,--,1.72,--,144.38,44.79,6.71,24.96,--,18.50,--,--,--,--,--,--,--,273026.59,--,--,1176.81,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:00:03,639661.75,2025.00,5.00,31.00,23.00,59.00,3.00,570.23,569.16,35.58,108.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,223.21,--,--,--,--,68.01,--,--,--,--,--,190.57,--,--,--,--,--,--,147.75,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:00:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:02:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1080.33,937.21,1158.04,1073.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.64,15.91,--,--,--,--,--,--,--,--,151.50,-0.31,20.35,8.69,0.63,12.79,60.49,2.18,0.86,14.62
2025-06-01 00:02:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1092.50,1163.65,1090.56,1129.87,1157.43,41.77,99.53,294.12,--,--,1.72,--,144.30,44.75,6.73,22.49,--,17.91,--,--,--,--,--,--,--,273026.59,--,--,1305.62,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:02:03,639661.75,2025.00,6.00,1.00,0.00,0.00,51.00,329.01,328.66,35.66,107.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,223.30,--,--,--,--,68.07,--,--,--,--,--,190.40,--,--,--,--,--,--,147.58,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:02:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:04:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1083.02,938.75,1155.51,1074.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.43,16.17,--,--,--,--,--,--,--,--,152.06,-0.27,20.50,8.52,0.62,18.17,57.83,4.10,1.05,14.55
2025-06-01 00:04:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1098.94,1169.03,1099.93,1157.40,1163.72,41.00,99.60,294.12,--,--,1.71,--,144.41,44.63,6.72,24.61,--,18.53,--,--,--,--,--,--,--,273026.59,--,--,1291.04,--,--,--,--,--,--,--,--,--,--,--
