时间,炉号,预警/报警类型,预警/报警事件
2025-05-29 00:00:00,1,预警,瞬时低炉温焚烧
2025-05-29 00:00:00,3,预警,布袋除尘器压力损失偏高
2025-05-29 00:00:00,1,预警,布袋除尘器压力损失偏低
2025-05-29 00:00:00,3,预警,焚烧炉出口氧含量偏高
2025-05-29 00:00:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:00:00,2,预警,焚烧炉出口氧含量偏高
2025-05-29 00:00:00,2,预警,布袋除尘器压力损失偏低
2025-05-29 00:02:00,3,预警,布袋除尘器压力损失偏高
2025-05-29 00:02:00,3,预警,焚烧炉出口氧含量偏高
2025-05-29 00:02:00,2,预警,布袋除尘器压力损失偏低
2025-05-29 00:02:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:02:00,1,预警,布袋除尘器压力损失偏低
2025-05-29 00:02:00,2,预警,焚烧炉出口氧含量偏高
2025-05-29 00:04:00,1,预警,布袋除尘器压力损失偏低
2025-05-29 00:04:00,2,预警,布袋除尘器压力损失偏低
2025-05-29 00:04:00,3,预警,焚烧炉出口氧含量偏高
2025-05-29 00:04:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:04:00,3,预警,布袋除尘器压力损失偏高
2025-05-29 00:04:00,2,预警,焚烧炉出口氧含量偏高
2025-05-29 00:05:00,1,预警,瞬时低炉温焚烧
2025-05-29 00:06:00,3,预警,焚烧炉出口氧含量偏高
2025-05-29 00:06:00,1,预警,布袋除尘器压力损失偏低
2025-05-29 00:06:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:06:00,2,预警,布袋除尘器压力损失偏低
2025-05-29 00:06:00,2,预警,焚烧炉出口氧含量偏高
2025-05-29 00:06:00,3,预警,布袋除尘器压力损失偏高
2025-05-29 00:08:00,1,预警,布袋除尘器压力损失偏低
2025-05-29 00:08:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:08:00,3,预警,焚烧炉出口氧含量偏高
2025-05-29 00:08:00,3,预警,布袋除尘器压力损失偏高
2025-05-29 00:08:00,2,预警,焚烧炉出口氧含量偏高
2025-05-29 00:08:00,2,预警,布袋除尘器压力损失偏低
2025-05-29 00:10:00,1,预警,瞬时低炉温焚烧
2025-05-29 00:10:00,3,预警,布袋除尘器压力损失偏高
2025-05-29 00:10:00,2,预警,焚烧炉出口氧含量偏高
2025-05-29 00:10:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:10:00,3,预警,焚烧炉出口氧含量偏高
2025-05-29 00:10:00,1,预警,布袋除尘器压力损失偏低
2025-05-29 00:10:00,2,预警,布袋除尘器压力损失偏低
2025-05-29 00:12:00,1,预警,焚烧炉出口氧含量偏高
2025-05-29 00:12:00,2,预警,焚烧炉出口氧含量偏高
