时间,炉号,预警/报警类型,预警/报警事件
2025-06-01 00:00:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:00:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:00:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:00:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:00:00,3,预警,瞬时低炉温焚烧
2025-06-01 00:00:00,3,预警,烟气中颗粒物（PM）浓度较高
2025-06-01 00:00:00,3,预警,烟气中氯化氢（HCl）浓度较高
2025-06-01 00:00:00,3,预警,烟气中一氧化碳（CO）浓度较高
2025-06-01 00:00:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:02:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:02:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:02:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:02:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:02:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:04:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:04:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:04:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:04:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:04:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:05:00,3,预警,瞬时低炉温焚烧
2025-06-01 00:06:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:06:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:06:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:06:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:06:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:08:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:08:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:08:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:08:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:08:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:10:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:10:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:10:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:10:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:10:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:10:00,3,预警,瞬时低炉温焚烧
2025-06-01 00:12:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:12:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:12:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:12:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:12:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:14:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:14:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:14:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:14:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:14:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:15:00,3,预警,瞬时低炉温焚烧
2025-06-01 00:16:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:16:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:16:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:16:00,2,预警,布袋除尘器压力损失偏低
2025-06-01 00:16:00,1,预警,布袋除尘器压力损失偏低
2025-06-01 00:18:00,2,预警,焚烧炉出口氧含量偏高
2025-06-01 00:18:00,1,预警,焚烧炉出口氧含量偏高
2025-06-01 00:18:00,3,预警,焚烧炉出口氧含量偏高
2025-06-01 00:18:00,1,预警,布袋除尘器压力损失偏低
